               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.026062,            0.022451,           0.0020468,             0.86283,             0.69478,             0.76118,             0.47511,            0.028694,            0.020231,           0.0057773,            0.008845,            0.008845,            0.008845
                  37,             0.02511,            0.022441,           0.0020114,             0.88383,               0.698,             0.76488,             0.49648,            0.027513,            0.020379,            0.005496,            0.008812,            0.008812,            0.008812
                  38,             0.02636,             0.02266,           0.0019479,             0.87276,             0.70608,             0.77112,             0.50287,              0.0283,            0.020289,           0.0048301,            0.008779,            0.008779,            0.008779
                  39,            0.025963,            0.021992,           0.0018438,             0.72109,              0.7244,             0.74811,             0.48332,             0.02693,            0.019271,            0.005198,            0.008746,            0.008746,            0.008746
                  40,            0.025486,            0.022154,           0.0019737,             0.86503,             0.64149,             0.74101,             0.47634,            0.029165,            0.020613,           0.0076421,            0.008713,            0.008713,            0.008713
                  41,            0.024954,            0.021535,           0.0018137,             0.90441,             0.66109,               0.751,             0.49028,            0.027808,            0.020698,           0.0054346,             0.00868,             0.00868,             0.00868
                  42,            0.025325,            0.021795,           0.0018783,             0.88527,             0.68068,               0.764,             0.48675,            0.028307,            0.019806,           0.0058627,            0.008647,            0.008647,            0.008647
                  43,            0.024726,            0.021402,           0.0017228,             0.88191,             0.68999,             0.73883,             0.47381,            0.028864,            0.019833,           0.0058862,            0.008614,            0.008614,            0.008614
                  44,            0.025281,             0.02257,           0.0018374,             0.88112,             0.72208,             0.77636,              0.4825,             0.02854,            0.020116,           0.0052773,            0.008581,            0.008581,            0.008581
                  45,            0.025283,            0.021446,           0.0018562,             0.79021,             0.73113,             0.76809,             0.49577,            0.028265,            0.020819,           0.0066386,            0.008548,            0.008548,            0.008548
                  46,            0.024506,            0.020411,           0.0018223,             0.87355,             0.66091,             0.73823,             0.48537,            0.028464,            0.020348,           0.0064285,            0.008515,            0.008515,            0.008515
                  47,             0.02504,              0.0225,           0.0016631,              0.8048,             0.76062,             0.77363,             0.48943,            0.029045,            0.020469,           0.0050097,            0.008482,            0.008482,            0.008482
                  48,            0.024855,            0.021322,           0.0017098,             0.84761,             0.71351,             0.77941,             0.50336,             0.02741,            0.019682,             0.00522,            0.008449,            0.008449,            0.008449
                  49,             0.02488,            0.021219,           0.0016604,             0.89461,             0.68759,             0.75705,             0.48331,            0.028402,            0.020469,            0.005578,            0.008416,            0.008416,            0.008416
                  50,            0.024606,            0.020661,           0.0016317,             0.84545,             0.75694,             0.79542,             0.50829,            0.027863,            0.020193,           0.0053665,            0.008383,            0.008383,            0.008383
                  51,            0.023683,            0.020773,           0.0015527,             0.87853,             0.74599,             0.79709,             0.50029,            0.028329,            0.020534,           0.0048822,             0.00835,             0.00835,             0.00835
